Element,M-At No.,M-At wt.,M-Density,M-M.P,M-B.P,M-Enth.fus,M-Enth.atom,M-Enth.vap,M-Sp.ht Cap,M-Elec.-ve,M-Surface.E,M-1st Ion E,M-cova .radii,M-At.radii,M-Group,M-Period,M-Work F.,M-Elec.Aff,At No.,At wt.,Density,M.P,B.P,Enth.fus,Enth.atom,Enth.vap,Sp.ht Cap,Elec.-ve,Surface.E,1st Ion E,cova .radii,At.radii,Group,Period,Work F.,Elec.Aff,CO_B.E
Ag3M-Ru,47,107.87,10.49,1234.93,2435,11.3,285,255,235,1.93,1.17,731,145,165,11,5,4.74,125.6,44,101.07,12.37,2607,4423,25.7,652,580,238,2.2,2.6,710.2,126,178,8,5,4.65,101.3,0.038113
Ag3M-Rh,47,107.87,10.49,1234.93,2435,11.3,285,255,235,1.93,1.17,731,145,165,11,5,4.74,125.6,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,1.98,719.7,135,173,9,5,5.2,109.7,0.033463
Ag3M-Pd,47,107.87,10.49,1234.93,2435,11.3,285,255,235,1.93,1.17,731,145,165,11,5,4.74,125.6,46,106.42,12.023,1828.05,3236,16.7,377,380,240,2.2,1.36,804.4,131,169,10,5,5.47,53.7,-0.020645
Ag3M-Os,47,107.87,10.49,1234.93,2435,11.3,285,255,235,1.93,1.17,731,145,165,11,5,4.74,125.6,76,190.23,22.59,3306,5285,31,789,630,130,2.2,2.95,840,128,185,8,6,5.93,106.1,0.051171
Ag3M-Ir,47,107.87,10.49,1234.93,2435,11.3,285,255,235,1.93,1.17,731,145,165,11,5,4.74,125.6,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.36,880,137,180,9,6,5.76,151,0.049074
Ag3M-Pt,47,107.87,10.49,1234.93,2435,11.3,285,255,235,1.93,1.17,731,145,165,11,5,4.74,125.6,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,-0.009738
Ag3M-Au,47,107.87,10.49,1234.93,2435,11.3,285,255,235,1.93,1.17,731,145,165,11,5,4.74,125.6,79,196.96,19.3,1337.33,3129,12.5,368,330,129.1,2.54,0.74,890.13,136,174,11,6,5.41,222.8,0.051616
Pt3M-Ti,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,2.299,870,136,177,10,6,5.93,205.3,22,47.867,4.507,1941,3560,18.7,471,425,520,1.54,1.93,658.8,160,176,4,4,4.33,7.6,-1.123417
Pt3M-V,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,2.299,870,136,177,10,6,5.93,205.3,23,50.94,6.11,2183,3680,22.8,515,453,489,1.63,2.38,650.9,153,171,5,4,4.3,50.6,-1.211983
Pt3M-Cr,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,2.299,870,136,177,10,6,5.93,205.3,24,51.9961,7.19,2180,2944,20.5,397,339,448,1.66,3.22,652.9,139,166,6,4,4.5,64.3,-1.432006
